,score,species,raw_position,strand,align_position,motif
12,8.354093551635742,VT50550|1|MEMB002A|+|2421,282,negative,345,MA0212.1_bcd.jaspar
13,11.612828254699707,VT50550|1|MEMB002A|+|2421,1209,positive,1593,MA0212.1_bcd.jaspar
14,11.612828254699707,VT50550|1|MEMB002A|+|2421,2003,positive,2923,MA0212.1_bcd.jaspar
18,8.354093551635742,VT50550|1|MEMB002B|-|2368,292,negative,345,MA0212.1_bcd.jaspar
19,11.612828254699707,VT50550|1|MEMB002B|-|2368,1229,positive,1593,MA0212.1_bcd.jaspar
20,11.612828254699707,VT50550|1|MEMB002B|-|2368,1939,positive,2923,MA0212.1_bcd.jaspar
15,8.354093551635742,VT50550|1|MEMB002C|+|2423,279,negative,345,MA0212.1_bcd.jaspar
16,11.612828254699707,VT50550|1|MEMB002C|+|2423,1210,positive,1593,MA0212.1_bcd.jaspar
17,11.612828254699707,VT50550|1|MEMB002C|+|2423,2005,positive,2923,MA0212.1_bcd.jaspar
36,8.354093551635742,VT50550|1|MEMB002D|-|2590,291,negative,345,MA0212.1_bcd.jaspar
37,8.354093551635742,VT50550|1|MEMB002D|-|2590,514,negative,617,MA0212.1_bcd.jaspar
38,11.612828254699707,VT50550|1|MEMB002D|-|2590,759,positive,906,MA0212.1_bcd.jaspar
39,11.612828254699707,VT50550|1|MEMB002D|-|2590,935,negative,1092,MA0212.1_bcd.jaspar
40,11.612828254699707,VT50550|1|MEMB002D|-|2590,1317,positive,1593,MA0212.1_bcd.jaspar
41,11.612828254699707,VT50550|1|MEMB002D|-|2590,2121,positive,2923,MA0212.1_bcd.jaspar
32,8.354093551635742,VT50550|1|MEMB002E|-|2466,320,negative,345,MA0212.1_bcd.jaspar
33,11.612828254699707,VT50550|1|MEMB002E|-|2466,796,negative,1092,MA0212.1_bcd.jaspar
34,11.612828254699707,VT50550|1|MEMB002E|-|2466,1202,positive,1593,MA0212.1_bcd.jaspar
35,11.612828254699707,VT50550|1|MEMB002E|-|2466,2024,positive,2923,MA0212.1_bcd.jaspar
0,8.354093551635742,VT50550|1|MEMB002F|+|2486,297,negative,345,MA0212.1_bcd.jaspar
1,11.612828254699707,VT50550|1|MEMB002F|+|2486,466,negative,527,MA0212.1_bcd.jaspar
2,8.354093551635742,VT50550|1|MEMB002F|+|2486,801,negative,1111,MA0212.1_bcd.jaspar
3,11.612828254699707,VT50550|1|MEMB002F|+|2486,804,positive,1114,MA0212.1_bcd.jaspar
4,11.612828254699707,VT50550|1|MEMB002F|+|2486,1209,positive,1593,MA0212.1_bcd.jaspar
5,11.612828254699707,VT50550|1|MEMB002F|+|2486,2032,positive,2923,MA0212.1_bcd.jaspar
83,8.354093551635742,VT50550|1|MEMB003A|+|2347,295,negative,345,MA0212.1_bcd.jaspar
84,11.612828254699707,VT50550|1|MEMB003A|+|2347,1155,positive,1593,MA0212.1_bcd.jaspar
85,11.612828254699707,VT50550|1|MEMB003A|+|2347,1935,positive,2923,MA0212.1_bcd.jaspar
97,8.354093551635742,VT50550|1|MEMB003B|+|2334,273,negative,345,MA0212.1_bcd.jaspar
98,8.354093551635742,VT50550|1|MEMB003B|+|2334,420,negative,527,MA0212.1_bcd.jaspar
99,11.612828254699707,VT50550|1|MEMB003B|+|2334,1125,positive,1593,MA0212.1_bcd.jaspar
100,11.612828254699707,VT50550|1|MEMB003B|+|2334,1914,positive,2923,MA0212.1_bcd.jaspar
9,8.354093551635742,VT50550|1|MEMB003C|-|2409,279,negative,345,MA0212.1_bcd.jaspar
10,11.612828254699707,VT50550|1|MEMB003C|-|2409,1198,positive,1593,MA0212.1_bcd.jaspar
11,11.612828254699707,VT50550|1|MEMB003C|-|2409,1991,positive,2923,MA0212.1_bcd.jaspar
86,8.354093551635742,VT50550|1|MEMB003D|+|2334,303,negative,345,MA0212.1_bcd.jaspar
87,11.612828254699707,VT50550|1|MEMB003D|+|2334,1163,positive,1593,MA0212.1_bcd.jaspar
88,11.612828254699707,VT50550|1|MEMB003D|+|2334,1921,positive,2923,MA0212.1_bcd.jaspar
42,8.354093551635742,VT50550|1|MEMB003F|-|2363,283,negative,345,MA0212.1_bcd.jaspar
43,8.354093551635742,VT50550|1|MEMB003F|-|2363,445,negative,527,MA0212.1_bcd.jaspar
44,11.612828254699707,VT50550|1|MEMB003F|-|2363,1140,positive,1593,MA0212.1_bcd.jaspar
45,11.612828254699707,VT50550|1|MEMB003F|-|2363,1924,positive,2923,MA0212.1_bcd.jaspar
46,8.354093551635742,VT50550|1|MEMB003F|-|2363,2236,positive,3333,MA0212.1_bcd.jaspar
21,8.354093551635742,VT50550|1|MEMB004A|-|2753,285,negative,345,MA0212.1_bcd.jaspar
22,11.612828254699707,VT50550|1|MEMB004A|-|2753,1220,positive,1593,MA0212.1_bcd.jaspar
23,11.612828254699707,VT50550|1|MEMB004A|-|2753,1608,positive,1992,MA0212.1_bcd.jaspar
24,11.612828254699707,VT50550|1|MEMB004A|-|2753,2326,positive,2923,MA0212.1_bcd.jaspar
51,8.354093551635742,VT50550|1|MEMB004B|+|2313,291,negative,345,MA0212.1_bcd.jaspar
52,11.612828254699707,VT50550|1|MEMB004B|+|2313,755,negative,1183,MA0212.1_bcd.jaspar
53,11.612828254699707,VT50550|1|MEMB004B|+|2313,1083,positive,1593,MA0212.1_bcd.jaspar
54,11.612828254699707,VT50550|1|MEMB004B|+|2313,1873,positive,2923,MA0212.1_bcd.jaspar
55,8.354093551635742,VT50550|1|MEMB004B|+|2313,2188,positive,3333,MA0212.1_bcd.jaspar
62,8.354093551635742,VT50550|1|MEMB004E|+|2381,285,negative,345,MA0212.1_bcd.jaspar
63,11.612828254699707,VT50550|1|MEMB004E|+|2381,458,negative,527,MA0212.1_bcd.jaspar
64,11.612828254699707,VT50550|1|MEMB004E|+|2381,1142,positive,1593,MA0212.1_bcd.jaspar
65,11.612828254699707,VT50550|1|MEMB004E|+|2381,1941,positive,2923,MA0212.1_bcd.jaspar
66,8.354093551635742,VT50550|1|MEMB004E|+|2381,2256,positive,3333,MA0212.1_bcd.jaspar
56,8.354093551635742,VT50550|1|MEMB005B|-|2184,285,negative,345,MA0212.1_bcd.jaspar
57,11.612828254699707,VT50550|1|MEMB005B|-|2184,657,negative,1158,MA0212.1_bcd.jaspar
58,11.612828254699707,VT50550|1|MEMB005B|-|2184,1008,positive,1593,MA0212.1_bcd.jaspar
59,11.612828254699707,VT50550|1|MEMB005B|-|2184,1781,positive,2923,MA0212.1_bcd.jaspar
60,8.354093551635742,VT50550|1|MEMB005B|-|2184,1916,positive,3132,MA0212.1_bcd.jaspar
61,8.354093551635742,VT50550|1|MEMB005B|-|2184,2095,positive,3333,MA0212.1_bcd.jaspar
72,8.354093551635742,VT50550|1|MEMB005D|-|2382,298,negative,345,MA0212.1_bcd.jaspar
73,8.354093551635742,VT50550|1|MEMB005D|-|2382,462,negative,527,MA0212.1_bcd.jaspar
74,8.354093551635742,VT50550|1|MEMB005D|-|2382,801,negative,1124,MA0212.1_bcd.jaspar
75,11.612828254699707,VT50550|1|MEMB005D|-|2382,1168,positive,1593,MA0212.1_bcd.jaspar
76,11.612828254699707,VT50550|1|MEMB005D|-|2382,1954,positive,2923,MA0212.1_bcd.jaspar
77,8.354093551635742,VT50550|1|MEMB006A|+|2371,312,negative,345,MA0212.1_bcd.jaspar
78,11.612828254699707,VT50550|1|MEMB006A|+|2371,1132,positive,1593,MA0212.1_bcd.jaspar
79,11.612828254699707,VT50550|1|MEMB006A|+|2371,1955,positive,2923,MA0212.1_bcd.jaspar
89,8.354093551635742,VT50550|1|MEMB006B|+|2379,297,negative,345,MA0212.1_bcd.jaspar
90,11.612828254699707,VT50550|1|MEMB006B|+|2379,500,negative,589,MA0212.1_bcd.jaspar
91,11.612828254699707,VT50550|1|MEMB006B|+|2379,1177,positive,1593,MA0212.1_bcd.jaspar
92,11.612828254699707,VT50550|1|MEMB006B|+|2379,1955,positive,2923,MA0212.1_bcd.jaspar
67,8.354093551635742,VT50550|1|MEMB006C|+|2304,289,negative,345,MA0212.1_bcd.jaspar
68,8.354093551635742,VT50550|1|MEMB006C|+|2304,462,negative,527,MA0212.1_bcd.jaspar
69,11.612828254699707,VT50550|1|MEMB006C|+|2304,1072,positive,1593,MA0212.1_bcd.jaspar
70,11.612828254699707,VT50550|1|MEMB006C|+|2304,1866,positive,2923,MA0212.1_bcd.jaspar
71,8.354093551635742,VT50550|1|MEMB006C|+|2304,2179,positive,3333,MA0212.1_bcd.jaspar
