	position	score	seq_len	species	raw_position	strand	align_position
1591	-1115.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	0.0	negative	3
1592	10.0	6.678131580352783	1115.0	VT17018|0|MEMB002A|-|1115	10.0	positive	21
1593	-1080.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	35.0	negative	46
1594	-1073.0	6.678131580352783	1115.0	VT17018|0|MEMB002A|-|1115	42.0	negative	80
1595	-1061.0	6.678131580352783	1115.0	VT17018|0|MEMB002A|-|1115	54.0	negative	92
1596	-1049.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	66.0	negative	104
1597	82.0	6.678131580352783	1115.0	VT17018|0|MEMB002A|-|1115	82.0	positive	120
1598	-1029.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	86.0	negative	124
1599	98.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	98.0	positive	136
1600	133.0	6.678131580352783	1115.0	VT17018|0|MEMB002A|-|1115	133.0	positive	173
1601	140.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	140.0	positive	193
1602	-972.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	143.0	negative	196
1603	-934.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	181.0	negative	245
1604	-924.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	191.0	negative	255
1605	203.0	6.678131580352783	1115.0	VT17018|0|MEMB002A|-|1115	203.0	positive	277
1606	210.0	6.678131580352783	1115.0	VT17018|0|MEMB002A|-|1115	210.0	positive	289
1607	-902.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	213.0	negative	296
1608	301.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	301.0	positive	415
1609	-803.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	312.0	negative	426
1610	360.0	6.678131580352783	1115.0	VT17018|0|MEMB002A|-|1115	360.0	positive	475
1611	400.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	400.0	positive	515
1612	-707.0	6.678131580352783	1115.0	VT17018|0|MEMB002A|-|1115	408.0	negative	523
1613	416.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	416.0	positive	531
1614	-699.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	416.0	negative	531
1615	-693.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	422.0	negative	537
1616	437.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	437.0	positive	620
1617	-671.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	444.0	negative	627
1618	-638.0	6.678131580352783	1115.0	VT17018|0|MEMB002A|-|1115	477.0	negative	660
1619	499.0	6.678131580352783	1115.0	VT17018|0|MEMB002A|-|1115	499.0	positive	685
1620	-605.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	510.0	negative	697
1621	519.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	519.0	positive	711
1622	-576.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	539.0	negative	745
1623	-568.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	547.0	negative	755
1624	552.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	552.0	positive	760
1625	-563.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	552.0	negative	760
1626	556.0	6.678131580352783	1115.0	VT17018|0|MEMB002A|-|1115	556.0	positive	764
1627	-553.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	562.0	negative	770
1628	579.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	579.0	positive	792
1629	-501.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	614.0	negative	830
1630	-498.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	617.0	negative	833
1631	-486.0	6.678131580352783	1115.0	VT17018|0|MEMB002A|-|1115	629.0	negative	846
1632	645.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	645.0	positive	862
1633	669.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	669.0	positive	886
1634	-439.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	676.0	negative	893
1635	-435.0	6.678131580352783	1115.0	VT17018|0|MEMB002A|-|1115	680.0	negative	918
1636	685.0	6.678131580352783	1115.0	VT17018|0|MEMB002A|-|1115	685.0	positive	923
1637	712.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	712.0	positive	953
1638	738.0	6.678131580352783	1115.0	VT17018|0|MEMB002A|-|1115	738.0	positive	989
1639	815.0	6.678131580352783	1115.0	VT17018|0|MEMB002A|-|1115	815.0	positive	1080
1640	828.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	828.0	positive	1093
1641	-279.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	836.0	negative	1101
1642	-264.0	6.678131580352783	1115.0	VT17018|0|MEMB002A|-|1115	851.0	negative	1116
1643	-255.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	860.0	negative	1125
1644	-229.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	886.0	negative	1151
1645	-206.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	909.0	negative	1177
1646	913.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	913.0	positive	1181
1647	917.0	6.678131580352783	1115.0	VT17018|0|MEMB002A|-|1115	917.0	positive	1186
1648	926.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	926.0	positive	1196
1649	938.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	938.0	positive	1209
1650	948.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	948.0	positive	1223
1651	-162.0	6.678131580352783	1115.0	VT17018|0|MEMB002A|-|1115	953.0	negative	1229
1652	-150.0	6.678131580352783	1115.0	VT17018|0|MEMB002A|-|1115	965.0	negative	1269
1653	981.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	981.0	positive	1288
1654	-134.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	981.0	negative	1288
1655	-131.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	984.0	negative	1291
1656	-127.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	988.0	negative	1295
1657	-122.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	993.0	negative	1308
1658	-116.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	999.0	negative	1316
1659	-112.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	1003.0	negative	1320
1660	1044.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	1044.0	positive	1408
1661	-64.0	6.678131580352783	1115.0	VT17018|0|MEMB002A|-|1115	1051.0	negative	1415
1662	1087.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	1087.0	positive	1454
1663	-18.0	2.304673194885254	1115.0	VT17018|0|MEMB002A|-|1115	1097.0	negative	1466
1664	1103.0	6.678131580352783	1115.0	VT17018|0|MEMB002A|-|1115	1103.0	positive	1472
1360	-1119.0	2.304673194885254	1119.0	VT17018|0|MEMB002B|-|1119	0.0	negative	3
1361	13.0	6.678131580352783	1119.0	VT17018|0|MEMB002B|-|1119	13.0	positive	21
1362	-1100.0	2.304673194885254	1119.0	VT17018|0|MEMB002B|-|1119	19.0	negative	27
1363	-1081.0	2.304673194885254	1119.0	VT17018|0|MEMB002B|-|1119	38.0	negative	46
1364	-1074.0	6.678131580352783	1119.0	VT17018|0|MEMB002B|-|1119	45.0	negative	80
1365	-1062.0	6.678131580352783	1119.0	VT17018|0|MEMB002B|-|1119	57.0	negative	92
1366	-1050.0	2.304673194885254	1119.0	VT17018|0|MEMB002B|-|1119	69.0	negative	104
