,score,species,raw_position,strand,align_position,motif
65,8.354093551635742,VT16679|0|MEMB002B|+|1762,1603,negative,2618,MA0212.1_bcd.jaspar
33,8.354093551635742,VT16679|0|MEMB002D|-|1976,1203,negative,1717,MA0212.1_bcd.jaspar
34,11.612828254699707,VT16679|0|MEMB002D|-|1976,1460,positive,2202,MA0212.1_bcd.jaspar
35,8.354093551635742,VT16679|0|MEMB002D|-|1976,1793,negative,2618,MA0212.1_bcd.jaspar
36,8.354093551635742,VT16679|0|MEMB002E|-|1989,871,positive,1316,MA0212.1_bcd.jaspar
37,8.354093551635742,VT16679|0|MEMB002E|-|1989,1231,negative,1717,MA0212.1_bcd.jaspar
38,11.612828254699707,VT16679|0|MEMB002E|-|1989,1464,positive,2202,MA0212.1_bcd.jaspar
39,8.354093551635742,VT16679|0|MEMB002E|-|1989,1793,negative,2612,MA0212.1_bcd.jaspar
40,8.354093551635742,VT16679|0|MEMB002E|-|1989,1799,negative,2618,MA0212.1_bcd.jaspar
64,8.354093551635742,VT16679|0|MEMB002F|-|1741,1563,negative,2618,MA0212.1_bcd.jaspar
17,8.354093551635742,VT16679|0|MEMB003A|-|1764,1132,negative,1717,MA0212.1_bcd.jaspar
18,11.612828254699707,VT16679|0|MEMB003A|-|1764,1279,positive,2202,MA0212.1_bcd.jaspar
19,8.354093551635742,VT16679|0|MEMB003A|-|1764,1568,negative,2612,MA0212.1_bcd.jaspar
20,8.354093551635742,VT16679|0|MEMB003A|-|1764,1574,negative,2618,MA0212.1_bcd.jaspar
5,8.354093551635742,VT16679|0|MEMB003B|-|1981,773,negative,1200,MA0212.1_bcd.jaspar
6,8.354093551635742,VT16679|0|MEMB003B|-|1981,1215,negative,1717,MA0212.1_bcd.jaspar
7,8.354093551635742,VT16679|0|MEMB003B|-|1981,1781,negative,2612,MA0212.1_bcd.jaspar
8,8.354093551635742,VT16679|0|MEMB003B|-|1981,1787,negative,2618,MA0212.1_bcd.jaspar
21,8.354093551635742,VT16679|0|MEMB003D|+|1762,1130,negative,1717,MA0212.1_bcd.jaspar
22,11.612828254699707,VT16679|0|MEMB003D|+|1762,1277,positive,2202,MA0212.1_bcd.jaspar
23,8.354093551635742,VT16679|0|MEMB003D|+|1762,1566,negative,2612,MA0212.1_bcd.jaspar
24,8.354093551635742,VT16679|0|MEMB003D|+|1762,1572,negative,2618,MA0212.1_bcd.jaspar
59,8.354093551635742,VT16679|0|MEMB003F|+|1932,1188,negative,1717,MA0212.1_bcd.jaspar
60,11.612828254699707,VT16679|0|MEMB003F|+|1932,1304,positive,2073,MA0212.1_bcd.jaspar
61,11.612828254699707,VT16679|0|MEMB003F|+|1932,1414,positive,2202,MA0212.1_bcd.jaspar
