,score,species,raw_position,strand,align_position,motif
35,8.354093551635742,VT43692|0|MEMB002A|-|2721,1054,positive,1308,MA0212.1_bcd.jaspar
31,8.354093551635742,VT43692|0|MEMB002B|+|3194,462,negative,600,MA0212.1_bcd.jaspar
32,8.354093551635742,VT43692|0|MEMB002B|+|3194,1068,positive,1308,MA0212.1_bcd.jaspar
33,11.612828254699707,VT43692|0|MEMB002B|+|3194,2155,negative,2622,MA0212.1_bcd.jaspar
36,8.354093551635742,VT43692|0|MEMB002C|-|2742,1028,positive,1308,MA0212.1_bcd.jaspar
3,11.612828254699707,VT43692|0|MEMB002D|-|2815,1198,positive,1750,MA0212.1_bcd.jaspar
0,11.612828254699707,VT43692|0|MEMB002E|-|2903,1262,positive,1750,MA0212.1_bcd.jaspar
1,11.612828254699707,VT43692|0|MEMB002E|-|2903,1943,negative,2554,MA0212.1_bcd.jaspar
6,11.612828254699707,VT43692|0|MEMB003A|-|2178,703,positive,1750,MA0212.1_bcd.jaspar
7,11.612828254699707,VT43692|0|MEMB003A|-|2178,1413,positive,3098,MA0212.1_bcd.jaspar
10,11.612828254699707,VT43692|0|MEMB003B|+|2749,1879,negative,2915,MA0212.1_bcd.jaspar
37,8.354093551635742,VT43692|0|MEMB003C|+|2745,1032,positive,1308,MA0212.1_bcd.jaspar
4,11.612828254699707,VT43692|0|MEMB003D|+|2594,1132,positive,1750,MA0212.1_bcd.jaspar
5,11.612828254699707,VT43692|0|MEMB003D|+|2594,1855,positive,3098,MA0212.1_bcd.jaspar
17,11.612828254699707,VT43692|0|MEMB003F|-|2895,545,positive,685,MA0212.1_bcd.jaspar
18,11.612828254699707,VT43692|0|MEMB003F|-|2895,1218,positive,1750,MA0212.1_bcd.jaspar
19,11.612828254699707,VT43692|0|MEMB003F|-|2895,2006,negative,2915,MA0212.1_bcd.jaspar
30,8.354093551635742,VT43692|0|MEMB004A|-|3068,1068,positive,1308,MA0212.1_bcd.jaspar
26,11.612828254699707,VT43692|0|MEMB004B|-|2761,552,positive,685,MA0212.1_bcd.jaspar
27,11.612828254699707,VT43692|0|MEMB004B|-|2761,1246,positive,1750,MA0212.1_bcd.jaspar
28,11.612828254699707,VT43692|0|MEMB004B|-|2761,1921,negative,2915,MA0212.1_bcd.jaspar
29,8.354093551635742,VT43692|0|MEMB004B|-|2761,2181,negative,3295,MA0212.1_bcd.jaspar
16,11.612828254699707,VT43692|0|MEMB004E|+|2748,1112,positive,1750,MA0212.1_bcd.jaspar
25,11.612828254699707,VT43692|0|MEMB005B|+|2826,1165,positive,1750,MA0212.1_bcd.jaspar
2,11.612828254699707,VT43692|0|MEMB006A|-|2845,1222,positive,1750,MA0212.1_bcd.jaspar
14,8.354093551635742,VT43692|0|MEMB006B|-|1806,540,negative,744,MA0212.1_bcd.jaspar
15,11.612828254699707,VT43692|0|MEMB006B|-|1806,1181,positive,1750,MA0212.1_bcd.jaspar
23,11.612828254699707,VT43692|0|MEMB006C|+|2818,1230,positive,1750,MA0212.1_bcd.jaspar
24,11.612828254699707,VT43692|0|MEMB006C|+|2818,1992,negative,2915,MA0212.1_bcd.jaspar
34,8.354093551635742,VT43692|0|MEMB007B|+|2747,1052,positive,1308,MA0212.1_bcd.jaspar
11,11.612828254699707,VT43692|0|MEMB007C|+|2681,528,positive,677,MA0212.1_bcd.jaspar
12,8.354093551635742,VT43692|0|MEMB007C|+|2681,1171,positive,1750,MA0212.1_bcd.jaspar
13,11.612828254699707,VT43692|0|MEMB007C|+|2681,1925,negative,2915,MA0212.1_bcd.jaspar
20,11.612828254699707,VT43692|0|MEMB008C|+|1543,530,positive,685,MA0212.1_bcd.jaspar
21,11.612828254699707,VT43692|0|MEMB008C|+|1543,1216,positive,1750,MA0212.1_bcd.jaspar
22,8.354093551635742,VT43692|0|MEMB008C|+|1543,1257,positive,1813,MA0212.1_bcd.jaspar
8,11.612828254699707,VT43692|0|dkik|+|2630,1157,positive,1750,MA0212.1_bcd.jaspar
9,11.612828254699707,VT43692|0|dkik|+|2630,1858,positive,3098,MA0212.1_bcd.jaspar
