,score,species,raw_position,strand,align_position,motif
24,11.612828254699707,VT7859|0|MEMB002A|-|2963,1763,negative,3199,MA0212.1_bcd.jaspar
25,11.612828254699707,VT7859|0|MEMB002A|-|2963,1917,negative,3743,MA0212.1_bcd.jaspar
0,11.612828254699707,VT7859|0|MEMB002B|+|2349,576,negative,1346,MA0212.1_bcd.jaspar
1,8.354093551635742,VT7859|0|MEMB002B|+|2349,749,negative,1790,MA0212.1_bcd.jaspar
26,11.612828254699707,VT7859|0|MEMB002C|-|2873,639,negative,1346,MA0212.1_bcd.jaspar
27,11.612828254699707,VT7859|0|MEMB002C|-|2873,1719,negative,3199,MA0212.1_bcd.jaspar
28,11.612828254699707,VT7859|0|MEMB002C|-|2873,1873,negative,3743,MA0212.1_bcd.jaspar
8,8.354093551635742,VT7859|0|MEMB002D|+|3269,829,negative,1985,MA0212.1_bcd.jaspar
9,8.354093551635742,VT7859|0|MEMB002D|+|3269,2100,positive,3837,MA0212.1_bcd.jaspar
2,11.612828254699707,VT7859|0|MEMB002E|+|4467,437,negative,480,MA0212.1_bcd.jaspar
16,8.354093551635742,VT7859|0|MEMB002F|-|2999,413,negative,513,MA0212.1_bcd.jaspar
17,11.612828254699707,VT7859|0|MEMB002F|-|2999,657,positive,1340,MA0212.1_bcd.jaspar
18,11.612828254699707,VT7859|0|MEMB002F|-|2999,1782,negative,3199,MA0212.1_bcd.jaspar
3,11.612828254699707,VT7859|0|MEMB003A|-|2246,1515,negative,3746,MA0212.1_bcd.jaspar
4,11.612828254699707,VT7859|0|MEMB003A|-|2246,1661,positive,3981,MA0212.1_bcd.jaspar
5,11.612828254699707,VT7859|0|MEMB003A|-|2246,1693,positive,4036,MA0212.1_bcd.jaspar
29,11.612828254699707,VT7859|0|MEMB003C|-|2885,1723,negative,3199,MA0212.1_bcd.jaspar
30,11.612828254699707,VT7859|0|MEMB003C|-|2885,1860,negative,3743,MA0212.1_bcd.jaspar
31,11.612828254699707,VT7859|0|MEMB003C|-|2885,2101,positive,4181,MA0212.1_bcd.jaspar
10,11.612828254699707,VT7859|0|MEMB003F|+|1865,396,negative,3382,MA0212.1_bcd.jaspar
19,8.354093551635742,VT7859|0|MEMB004A|-|2860,585,positive,1340,MA0212.1_bcd.jaspar
20,11.612828254699707,VT7859|0|MEMB004A|-|2860,825,negative,1984,MA0212.1_bcd.jaspar
21,11.612828254699707,VT7859|0|MEMB004A|-|2860,1655,negative,3199,MA0212.1_bcd.jaspar
22,8.354093551635742,VT7859|0|MEMB004A|-|2860,1747,negative,3454,MA0212.1_bcd.jaspar
13,11.612828254699707,VT7859|0|MEMB004B|+|2821,1609,negative,3715,MA0212.1_bcd.jaspar
14,11.612828254699707,VT7859|0|MEMB004B|+|2821,1631,negative,3759,MA0212.1_bcd.jaspar
15,11.612828254699707,VT7859|0|MEMB005B|+|2462,525,positive,703,MA0212.1_bcd.jaspar
11,11.612828254699707,VT7859|0|MEMB006C|-|2630,1693,negative,3917,MA0212.1_bcd.jaspar
23,11.612828254699707,VT7859|0|MEMB007B|-|2739,1569,negative,3199,MA0212.1_bcd.jaspar
12,8.354093551635742,VT7859|0|MEMB008C|+|2636,1537,positive,3767,MA0212.1_bcd.jaspar
6,11.612828254699707,VT7859|0|dkik|-|2616,1555,negative,3746,MA0212.1_bcd.jaspar
7,11.612828254699707,VT7859|0|dkik|-|2616,1704,positive,3981,MA0212.1_bcd.jaspar
