,score,species,raw_position,strand,align_position,motif
3,8.354093551635742,VT44110|0|MEMB002B|+|2595,567,negative,715,MA0212.1_bcd.jaspar
4,11.612828254699707,VT44110|0|MEMB002B|+|2595,1327,negative,1716,MA0212.1_bcd.jaspar
31,8.354093551635742,VT44110|0|MEMB002D|+|2521,761,positive,995,MA0212.1_bcd.jaspar
30,11.612828254699707,VT44110|0|MEMB002E|+|2318,1208,positive,1955,MA0212.1_bcd.jaspar
0,8.354093551635742,VT44110|0|MEMB002F|-|2620,502,negative,581,MA0212.1_bcd.jaspar
1,11.612828254699707,VT44110|0|MEMB002F|-|2620,1344,negative,1716,MA0212.1_bcd.jaspar
2,8.354093551635742,VT44110|0|MEMB002F|-|2620,1522,positive,1943,MA0212.1_bcd.jaspar
19,8.354093551635742,VT44110|0|MEMB003A|-|2395,7,positive,41,MA0212.1_bcd.jaspar
20,11.612828254699707,VT44110|0|MEMB003A|-|2395,532,positive,696,MA0212.1_bcd.jaspar
21,11.612828254699707,VT44110|0|MEMB003A|-|2395,729,negative,1013,MA0212.1_bcd.jaspar
22,8.354093551635742,VT44110|0|MEMB003A|-|2395,1203,negative,1716,MA0212.1_bcd.jaspar
23,11.612828254699707,VT44110|0|MEMB003A|-|2395,1206,positive,1745,MA0212.1_bcd.jaspar
24,11.612828254699707,VT44110|0|MEMB003A|-|2395,1328,positive,1955,MA0212.1_bcd.jaspar
38,11.612828254699707,VT44110|0|MEMB003B|+|2418,1300,positive,1745,MA0212.1_bcd.jaspar
8,8.354093551635742,VT44110|0|MEMB003C|+|2512,607,positive,854,MA0212.1_bcd.jaspar
25,11.612828254699707,VT44110|0|MEMB003D|-|2422,535,positive,696,MA0212.1_bcd.jaspar
26,11.612828254699707,VT44110|0|MEMB003D|-|2422,745,negative,1013,MA0212.1_bcd.jaspar
27,8.354093551635742,VT44110|0|MEMB003D|-|2422,1223,negative,1716,MA0212.1_bcd.jaspar
28,11.612828254699707,VT44110|0|MEMB003D|-|2422,1226,positive,1745,MA0212.1_bcd.jaspar
29,11.612828254699707,VT44110|0|MEMB003D|-|2422,1349,positive,1955,MA0212.1_bcd.jaspar
13,11.612828254699707,VT44110|0|MEMB003F|+|2613,798,positive,1049,MA0212.1_bcd.jaspar
5,8.354093551635742,VT44110|0|MEMB004A|+|2631,598,negative,715,MA0212.1_bcd.jaspar
6,11.612828254699707,VT44110|0|MEMB004A|+|2631,1358,negative,1716,MA0212.1_bcd.jaspar
11,8.354093551635742,VT44110|0|MEMB004E|+|2515,595,positive,753,MA0212.1_bcd.jaspar
12,8.354093551635742,VT44110|0|MEMB004E|+|2515,1339,negative,1716,MA0212.1_bcd.jaspar
32,11.612828254699707,VT44110|0|MEMB005D|-|2406,1322,positive,1955,MA0212.1_bcd.jaspar
33,11.612828254699707,VT44110|0|MEMB006A|-|2458,1352,positive,1955,MA0212.1_bcd.jaspar
34,8.354093551635742,VT44110|0|MEMB006B|-|2374,1142,negative,1716,MA0212.1_bcd.jaspar
35,11.612828254699707,VT44110|0|MEMB006B|-|2374,1145,positive,1745,MA0212.1_bcd.jaspar
36,11.612828254699707,VT44110|0|MEMB006B|-|2374,1262,positive,1955,MA0212.1_bcd.jaspar
14,8.354093551635742,VT44110|0|MEMB006C|+|2576,1360,negative,1716,MA0212.1_bcd.jaspar
15,11.612828254699707,VT44110|0|MEMB006C|+|2576,1480,positive,1955,MA0212.1_bcd.jaspar
7,8.354093551635742,VT44110|0|MEMB007B|+|2495,620,positive,854,MA0212.1_bcd.jaspar
37,11.612828254699707,VT44110|0|MEMB007C|-|2438,1303,positive,1745,MA0212.1_bcd.jaspar
9,11.612828254699707,VT44110|0|MEMB007D|+|2608,1509,positive,1955,MA0212.1_bcd.jaspar
10,8.354093551635742,VT44110|0|MEMB008C|+|2433,1459,positive,2071,MA0212.1_bcd.jaspar
16,11.612828254699707,VT44110|0|dkik|-|2376,535,positive,696,MA0212.1_bcd.jaspar
17,11.612828254699707,VT44110|0|dkik|-|2376,744,negative,1013,MA0212.1_bcd.jaspar
18,11.612828254699707,VT44110|0|dkik|-|2376,1307,positive,1955,MA0212.1_bcd.jaspar
