,score,species,raw_position,strand,align_position,motif
22,11.612828254699707,VT40548|1|MEMB002A|+|1332,381,positive,2703,MA0212.1_bcd.jaspar
23,8.354093551635742,VT40548|1|MEMB002A|+|1332,648,positive,3234,MA0212.1_bcd.jaspar
4,8.354093551635742,VT40548|1|MEMB002B|-|2476,887,negative,1963,MA0212.1_bcd.jaspar
5,11.612828254699707,VT40548|1|MEMB002B|-|2476,1535,positive,2703,MA0212.1_bcd.jaspar
6,8.354093551635742,VT40548|1|MEMB002B|-|2476,1819,positive,3234,MA0212.1_bcd.jaspar
7,11.612828254699707,VT40548|1|MEMB002B|-|2476,2338,positive,3902,MA0212.1_bcd.jaspar
19,11.612828254699707,VT40548|1|MEMB002C|-|2397,1463,positive,2703,MA0212.1_bcd.jaspar
20,8.354093551635742,VT40548|1|MEMB002C|-|2397,1730,positive,3234,MA0212.1_bcd.jaspar
21,11.612828254699707,VT40548|1|MEMB002C|-|2397,2263,positive,3902,MA0212.1_bcd.jaspar
24,11.612828254699707,VT40548|1|MEMB002D|-|2274,315,negative,619,MA0212.1_bcd.jaspar
25,11.612828254699707,VT40548|1|MEMB002D|-|2274,730,negative,1905,MA0212.1_bcd.jaspar
26,11.612828254699707,VT40548|1|MEMB002D|-|2274,1371,positive,2649,MA0212.1_bcd.jaspar
27,8.354093551635742,VT40548|1|MEMB002D|-|2274,1745,positive,3306,MA0212.1_bcd.jaspar
28,11.612828254699707,VT40548|1|MEMB002E|-|1581,736,positive,2703,MA0212.1_bcd.jaspar
0,8.354093551635742,VT40548|1|MEMB002F|-|2939,733,negative,960,MA0212.1_bcd.jaspar
1,11.612828254699707,VT40548|1|MEMB002F|-|2939,1964,positive,2703,MA0212.1_bcd.jaspar
2,11.612828254699707,VT40548|1|MEMB002F|-|2939,2494,positive,3465,MA0212.1_bcd.jaspar
3,11.612828254699707,VT40548|1|MEMB002F|-|2939,2802,positive,3902,MA0212.1_bcd.jaspar
39,11.612828254699707,VT40548|1|MEMB003A|-|1120,488,positive,2703,MA0212.1_bcd.jaspar
30,11.612828254699707,VT40548|1|MEMB003B|+|2247,595,positive,1736,MA0212.1_bcd.jaspar
15,11.612828254699707,VT40548|1|MEMB003C|+|2757,1825,positive,2703,MA0212.1_bcd.jaspar
16,8.354093551635742,VT40548|1|MEMB003C|+|2757,2090,positive,3234,MA0212.1_bcd.jaspar
17,11.612828254699707,VT40548|1|MEMB003C|+|2757,2098,positive,3244,MA0212.1_bcd.jaspar
18,11.612828254699707,VT40548|1|MEMB003C|+|2757,2623,positive,3902,MA0212.1_bcd.jaspar
40,11.612828254699707,VT40548|1|MEMB003D|-|1155,105,negative,2020,MA0212.1_bcd.jaspar
41,11.612828254699707,VT40548|1|MEMB003D|-|1155,506,positive,2703,MA0212.1_bcd.jaspar
43,11.612828254699707,VT40548|1|MEMB003F|-|1282,391,positive,2703,MA0212.1_bcd.jaspar
8,8.354093551635742,VT40548|1|MEMB004A|+|2458,886,negative,1963,MA0212.1_bcd.jaspar
9,11.612828254699707,VT40548|1|MEMB004A|+|2458,1534,positive,2703,MA0212.1_bcd.jaspar
10,8.354093551635742,VT40548|1|MEMB004A|+|2458,1818,positive,3234,MA0212.1_bcd.jaspar
11,11.612828254699707,VT40548|1|MEMB004A|+|2458,2320,positive,3902,MA0212.1_bcd.jaspar
51,8.354093551635742,VT40548|1|MEMB004B|+|2863,490,negative,764,MA0212.1_bcd.jaspar
52,8.354093551635742,VT40548|1|MEMB004B|+|2863,970,negative,1278,MA0212.1_bcd.jaspar
53,11.612828254699707,VT40548|1|MEMB004B|+|2863,1391,negative,1967,MA0212.1_bcd.jaspar
54,8.354093551635742,VT40548|1|MEMB004B|+|2863,2308,positive,3269,MA0212.1_bcd.jaspar
57,11.612828254699707,VT40548|1|MEMB004E|+|1242,380,positive,2703,MA0212.1_bcd.jaspar
58,8.354093551635742,VT40548|1|MEMB004E|+|1242,627,positive,3011,MA0212.1_bcd.jaspar
59,8.354093551635742,VT40548|1|MEMB004E|+|1242,640,positive,3028,MA0212.1_bcd.jaspar
44,8.354093551635742,VT40548|1|MEMB005B|-|2969,543,positive,672,MA0212.1_bcd.jaspar
45,8.354093551635742,VT40548|1|MEMB005B|-|2969,612,negative,764,MA0212.1_bcd.jaspar
