,score,species,raw_position,strand,align_position,motif
6,11.612828254699707,VT6705|1|MEMB002A|+|2626,991,negative,1369,MA0212.1_bcd.jaspar
7,11.612828254699707,VT6705|1|MEMB002A|+|2626,1859,negative,2947,MA0212.1_bcd.jaspar
0,11.612828254699707,VT6705|1|MEMB002B|-|2577,1852,negative,2947,MA0212.1_bcd.jaspar
3,11.612828254699707,VT6705|1|MEMB002C|+|2626,1847,negative,2947,MA0212.1_bcd.jaspar
17,11.612828254699707,VT6705|1|MEMB002D|+|2799,612,negative,828,MA0212.1_bcd.jaspar
18,8.354093551635742,VT6705|1|MEMB002D|+|2799,1258,negative,1524,MA0212.1_bcd.jaspar
19,11.612828254699707,VT6705|1|MEMB002D|+|2799,1399,positive,2071,MA0212.1_bcd.jaspar
20,11.612828254699707,VT6705|1|MEMB002D|+|2799,2074,negative,2947,MA0212.1_bcd.jaspar
15,8.354093551635742,VT6705|1|MEMB002E|-|2987,744,negative,975,MA0212.1_bcd.jaspar
16,11.612828254699707,VT6705|1|MEMB002E|-|2987,2302,negative,2947,MA0212.1_bcd.jaspar
10,11.612828254699707,VT6705|1|MEMB002F|-|2487,916,positive,1443,MA0212.1_bcd.jaspar
11,11.612828254699707,VT6705|1|MEMB002F|-|2487,1691,negative,2947,MA0212.1_bcd.jaspar
25,11.612828254699707,VT6705|1|MEMB003A|-|2313,1561,negative,2947,MA0212.1_bcd.jaspar
44,11.612828254699707,VT6705|1|MEMB003B|+|2047,1339,negative,2947,MA0212.1_bcd.jaspar
8,11.612828254699707,VT6705|1|MEMB003C|+|2695,998,negative,1369,MA0212.1_bcd.jaspar
9,11.612828254699707,VT6705|1|MEMB003C|+|2695,1923,negative,2947,MA0212.1_bcd.jaspar
27,11.612828254699707,VT6705|1|MEMB003D|+|2291,1558,negative,2947,MA0212.1_bcd.jaspar
37,11.612828254699707,VT6705|1|MEMB003F|+|2730,629,negative,828,MA0212.1_bcd.jaspar
38,11.612828254699707,VT6705|1|MEMB003F|+|2730,1151,negative,1880,MA0212.1_bcd.jaspar
39,11.612828254699707,VT6705|1|MEMB003F|+|2730,1968,negative,2947,MA0212.1_bcd.jaspar
1,8.354093551635742,VT6705|1|MEMB004A|+|2576,1141,positive,1512,MA0212.1_bcd.jaspar
2,11.612828254699707,VT6705|1|MEMB004A|+|2576,1855,negative,2947,MA0212.1_bcd.jaspar
31,11.612828254699707,VT6705|1|MEMB004B|-|2641,611,negative,828,MA0212.1_bcd.jaspar
32,11.612828254699707,VT6705|1|MEMB004B|-|2641,1879,negative,2947,MA0212.1_bcd.jaspar
33,11.612828254699707,VT6705|1|MEMB004E|+|2328,595,negative,828,MA0212.1_bcd.jaspar
34,11.612828254699707,VT6705|1|MEMB004E|+|2328,1569,negative,2947,MA0212.1_bcd.jaspar
28,11.612828254699707,VT6705|1|MEMB005B|+|2806,634,negative,828,MA0212.1_bcd.jaspar
29,11.612828254699707,VT6705|1|MEMB005B|+|2806,2041,negative,2947,MA0212.1_bcd.jaspar
21,11.612828254699707,VT6705|1|MEMB005D|-|2393,643,negative,828,MA0212.1_bcd.jaspar
22,11.612828254699707,VT6705|1|MEMB005D|-|2393,1647,negative,2947,MA0212.1_bcd.jaspar
23,11.612828254699707,VT6705|1|MEMB006A|+|2299,662,negative,828,MA0212.1_bcd.jaspar
24,11.612828254699707,VT6705|1|MEMB006A|+|2299,1560,negative,2947,MA0212.1_bcd.jaspar
40,11.612828254699707,VT6705|1|MEMB006B|+|1870,504,negative,828,MA0212.1_bcd.jaspar
35,11.612828254699707,VT6705|1|MEMB006C|-|2241,652,negative,828,MA0212.1_bcd.jaspar
36,11.612828254699707,VT6705|1|MEMB006C|-|2241,1499,negative,2947,MA0212.1_bcd.jaspar
4,11.612828254699707,VT6705|1|MEMB007B|-|2631,1003,negative,1369,MA0212.1_bcd.jaspar
5,11.612828254699707,VT6705|1|MEMB007B|-|2631,1878,negative,2947,MA0212.1_bcd.jaspar
41,11.612828254699707,VT6705|1|MEMB007C|-|1971,606,negative,828,MA0212.1_bcd.jaspar
42,8.354093551635742,VT6705|1|MEMB007C|-|1971,716,negative,2213,MA0212.1_bcd.jaspar
43,11.612828254699707,VT6705|1|MEMB007C|-|1971,1288,negative,2947,MA0212.1_bcd.jaspar
12,11.612828254699707,VT6705|1|MEMB007D|-|2628,1138,positive,2055,MA0212.1_bcd.jaspar
13,8.354093551635742,VT6705|1|MEMB007D|-|2628,1219,positive,2193,MA0212.1_bcd.jaspar
14,11.612828254699707,VT6705|1|MEMB007D|-|2628,1812,negative,2947,MA0212.1_bcd.jaspar
30,11.612828254699707,VT6705|1|MEMB008C|-|2478,618,negative,828,MA0212.1_bcd.jaspar
26,11.612828254699707,VT6705|1|dkik|+|2284,1526,negative,2947,MA0212.1_bcd.jaspar
