,score,species,raw_position,strand,align_position,motif
3,8.354093551635742,VT59000|1|MEMB002A|+|2953,2620,positive,4739,MA0212.1_bcd.jaspar
5,8.354093551635742,VT59000|1|MEMB002B|-|2942,1382,negative,3339,MA0212.1_bcd.jaspar
6,8.354093551635742,VT59000|1|MEMB002B|-|2942,2355,positive,4739,MA0212.1_bcd.jaspar
7,8.354093551635742,VT59000|1|MEMB002B|-|2942,2859,negative,6378,MA0212.1_bcd.jaspar
4,8.354093551635742,VT59000|1|MEMB002C|+|3521,3190,positive,4739,MA0212.1_bcd.jaspar
22,8.354093551635742,VT59000|1|MEMB002D|-|3273,720,negative,934,MA0212.1_bcd.jaspar
23,8.354093551635742,VT59000|1|MEMB002D|-|3273,1090,negative,1881,MA0212.1_bcd.jaspar
24,11.612828254699707,VT59000|1|MEMB002D|-|3273,1821,positive,3841,MA0212.1_bcd.jaspar
25,8.354093551635742,VT59000|1|MEMB002D|-|3273,2544,positive,4739,MA0212.1_bcd.jaspar
26,11.612828254699707,VT59000|1|MEMB002D|-|3273,2825,positive,5411,MA0212.1_bcd.jaspar
27,11.612828254699707,VT59000|1|MEMB002D|-|3273,2992,positive,5626,MA0212.1_bcd.jaspar
21,11.612828254699707,VT59000|1|MEMB002E|-|3354,2168,positive,3841,MA0212.1_bcd.jaspar
0,8.354093551635742,VT59000|1|MEMB002F|-|3260,2343,positive,4739,MA0212.1_bcd.jaspar
15,8.354093551635742,VT59000|1|MEMB003A|+|3004,1518,negative,3177,MA0212.1_bcd.jaspar
16,8.354093551635742,VT59000|1|MEMB003A|+|3004,2491,positive,4739,MA0212.1_bcd.jaspar
45,11.612828254699707,VT59000|1|MEMB003B|-|2858,1592,negative,3806,MA0212.1_bcd.jaspar
2,8.354093551635742,VT59000|1|MEMB003C|+|3382,3047,positive,4739,MA0212.1_bcd.jaspar
17,8.354093551635742,VT59000|1|MEMB003D|-|3115,1645,negative,3177,MA0212.1_bcd.jaspar
18,8.354093551635742,VT59000|1|MEMB003D|-|3115,2597,positive,4739,MA0212.1_bcd.jaspar
39,8.354093551635742,VT59000|1|MEMB003F|+|3399,2730,positive,4739,MA0212.1_bcd.jaspar
8,8.354093551635742,VT59000|1|MEMB004A|+|3924,1375,negative,3339,MA0212.1_bcd.jaspar
9,8.354093551635742,VT59000|1|MEMB004A|+|3924,1829,negative,4043,MA0212.1_bcd.jaspar
10,8.354093551635742,VT59000|1|MEMB004A|+|3924,2389,positive,4739,MA0212.1_bcd.jaspar
11,11.612828254699707,VT59000|1|MEMB004A|+|3924,3014,negative,5468,MA0212.1_bcd.jaspar
12,11.612828254699707,VT59000|1|MEMB004A|+|3924,3480,negative,5991,MA0212.1_bcd.jaspar
13,8.354093551635742,VT59000|1|MEMB004A|+|3924,3841,negative,6378,MA0212.1_bcd.jaspar
29,8.354093551635742,VT59000|1|MEMB004B|-|3272,492,negative,647,MA0212.1_bcd.jaspar
30,8.354093551635742,VT59000|1|MEMB004B|-|3272,1012,negative,1881,MA0212.1_bcd.jaspar
31,11.612828254699707,VT59000|1|MEMB004B|-|3272,1763,positive,3841,MA0212.1_bcd.jaspar
32,8.354093551635742,VT59000|1|MEMB004B|-|3272,2379,positive,4739,MA0212.1_bcd.jaspar
33,11.612828254699707,VT59000|1|MEMB004B|-|3272,2990,positive,5545,MA0212.1_bcd.jaspar
28,8.354093551635742,VT59000|1|MEMB004E|-|3281,2656,positive,4739,MA0212.1_bcd.jaspar
34,8.354093551635742,VT59000|1|MEMB005B|+|3174,911,negative,1881,MA0212.1_bcd.jaspar
35,11.612828254699707,VT59000|1|MEMB005B|+|3174,2802,negative,5432,MA0212.1_bcd.jaspar
41,8.354093551635742,VT59000|1|MEMB005D|+|2831,1785,positive,3841,MA0212.1_bcd.jaspar
42,8.354093551635742,VT59000|1|MEMB005D|+|2831,2436,positive,4739,MA0212.1_bcd.jaspar
40,8.354093551635742,VT59000|1|MEMB006A|-|2842,2409,positive,4739,MA0212.1_bcd.jaspar
43,8.354093551635742,VT59000|1|MEMB006B|-|2891,1715,positive,3975,MA0212.1_bcd.jaspar
44,8.354093551635742,VT59000|1|MEMB006B|-|2891,2340,positive,4739,MA0212.1_bcd.jaspar
36,8.354093551635742,VT59000|1|MEMB006C|+|3289,329,positive,457,MA0212.1_bcd.jaspar
37,8.354093551635742,VT59000|1|MEMB006C|+|3289,2540,positive,4739,MA0212.1_bcd.jaspar
1,8.354093551635742,VT59000|1|MEMB007B|+|3421,3088,positive,4739,MA0212.1_bcd.jaspar
46,11.612828254699707,VT59000|1|MEMB007C|-|2669,1127,negative,3330,MA0212.1_bcd.jaspar
47,11.612828254699707,VT59000|1|MEMB007C|-|2669,1466,negative,3806,MA0212.1_bcd.jaspar
48,8.354093551635742,VT59000|1|MEMB007C|-|2669,2160,positive,4739,MA0212.1_bcd.jaspar
14,8.354093551635742,VT59000|1|MEMB007D|-|2691,2257,positive,4739,MA0212.1_bcd.jaspar
38,8.354093551635742,VT59000|1|MEMB008C|+|3599,1272,negative,1881,MA0212.1_bcd.jaspar
19,8.354093551635742,VT59000|1|dkik|-|3196,1719,negative,3177,MA0212.1_bcd.jaspar
20,8.354093551635742,VT59000|1|dkik|-|3196,2692,positive,4739,MA0212.1_bcd.jaspar
