,score,species,raw_position,strand,align_position,motif
39,8.354093551635742,VT8646|0|MEMB002A|+|3062,385,negative,808,MA0212.1_bcd.jaspar
40,11.612828254699707,VT8646|0|MEMB002A|+|3062,1043,positive,1691,MA0212.1_bcd.jaspar
41,11.612828254699707,VT8646|0|MEMB002A|+|3062,2011,positive,2954,MA0212.1_bcd.jaspar
42,11.612828254699707,VT8646|0|MEMB002A|+|3062,2679,negative,5599,MA0212.1_bcd.jaspar
17,8.354093551635742,VT8646|0|MEMB002B|+|2935,391,negative,808,MA0212.1_bcd.jaspar
18,8.354093551635742,VT8646|0|MEMB002B|+|2935,1074,positive,1691,MA0212.1_bcd.jaspar
19,11.612828254699707,VT8646|0|MEMB002B|+|2935,1926,positive,2954,MA0212.1_bcd.jaspar
20,11.612828254699707,VT8646|0|MEMB002B|+|2935,2514,negative,5599,MA0212.1_bcd.jaspar
35,8.354093551635742,VT8646|0|MEMB002C|-|2975,360,negative,808,MA0212.1_bcd.jaspar
36,11.612828254699707,VT8646|0|MEMB002C|-|2975,1018,positive,1691,MA0212.1_bcd.jaspar
37,11.612828254699707,VT8646|0|MEMB002C|-|2975,1927,positive,2954,MA0212.1_bcd.jaspar
38,11.612828254699707,VT8646|0|MEMB002C|-|2975,2586,negative,5599,MA0212.1_bcd.jaspar
51,8.354093551635742,VT8646|0|MEMB002D|+|3516,704,positive,1691,MA0212.1_bcd.jaspar
52,11.612828254699707,VT8646|0|MEMB002D|+|3516,756,negative,1749,MA0212.1_bcd.jaspar
53,11.612828254699707,VT8646|0|MEMB002D|+|3516,1463,positive,2954,MA0212.1_bcd.jaspar
54,11.612828254699707,VT8646|0|MEMB002D|+|3516,2050,negative,3906,MA0212.1_bcd.jaspar
55,8.354093551635742,VT8646|0|MEMB002D|+|3516,2060,negative,3916,MA0212.1_bcd.jaspar
56,11.612828254699707,VT8646|0|MEMB002D|+|3516,3093,negative,5599,MA0212.1_bcd.jaspar
80,11.612828254699707,VT8646|0|MEMB002E|-|4143,702,positive,1691,MA0212.1_bcd.jaspar
81,11.612828254699707,VT8646|0|MEMB002E|-|4143,1305,positive,2954,MA0212.1_bcd.jaspar
82,8.354093551635742,VT8646|0|MEMB002E|-|4143,2143,negative,3872,MA0212.1_bcd.jaspar
83,8.354093551635742,VT8646|0|MEMB002E|-|4143,2754,negative,4525,MA0212.1_bcd.jaspar
84,11.612828254699707,VT8646|0|MEMB002E|-|4143,3702,negative,5599,MA0212.1_bcd.jaspar
0,8.354093551635742,VT8646|0|MEMB002F|+|3753,358,negative,462,MA0212.1_bcd.jaspar
1,11.612828254699707,VT8646|0|MEMB002F|+|3753,552,negative,732,MA0212.1_bcd.jaspar
2,11.612828254699707,VT8646|0|MEMB002F|+|3753,724,positive,963,MA0212.1_bcd.jaspar
3,8.354093551635742,VT8646|0|MEMB002F|+|3753,1344,positive,1691,MA0212.1_bcd.jaspar
4,11.612828254699707,VT8646|0|MEMB002F|+|3753,2215,positive,2954,MA0212.1_bcd.jaspar
5,11.612828254699707,VT8646|0|MEMB002F|+|3753,3342,negative,5599,MA0212.1_bcd.jaspar
74,8.354093551635742,VT8646|0|MEMB003A|+|2540,908,positive,1691,MA0212.1_bcd.jaspar
75,11.612828254699707,VT8646|0|MEMB003A|+|2540,1573,positive,2954,MA0212.1_bcd.jaspar
76,11.612828254699707,VT8646|0|MEMB003A|+|2540,2138,negative,5599,MA0212.1_bcd.jaspar
62,8.354093551635742,VT8646|0|MEMB003B|+|2425,675,positive,1691,MA0212.1_bcd.jaspar
63,11.612828254699707,VT8646|0|MEMB003B|+|2425,1384,positive,2954,MA0212.1_bcd.jaspar
64,11.612828254699707,VT8646|0|MEMB003B|+|2425,1997,negative,5599,MA0212.1_bcd.jaspar
47,8.354093551635742,VT8646|0|MEMB003C|+|2927,415,negative,808,MA0212.1_bcd.jaspar
48,11.612828254699707,VT8646|0|MEMB003C|+|2927,1062,positive,1691,MA0212.1_bcd.jaspar
49,11.612828254699707,VT8646|0|MEMB003C|+|2927,1951,positive,2954,MA0212.1_bcd.jaspar
50,11.612828254699707,VT8646|0|MEMB003C|+|2927,2538,negative,5599,MA0212.1_bcd.jaspar
77,8.354093551635742,VT8646|0|MEMB003D|+|2591,898,positive,1691,MA0212.1_bcd.jaspar
78,11.612828254699707,VT8646|0|MEMB003D|+|2591,1556,positive,2954,MA0212.1_bcd.jaspar
79,11.612828254699707,VT8646|0|MEMB003D|+|2591,2168,negative,5599,MA0212.1_bcd.jaspar
94,8.354093551635742,VT8646|0|MEMB003F|+|2578,952,positive,1691,MA0212.1_bcd.jaspar
95,11.612828254699707,VT8646|0|MEMB003F|+|2578,1563,positive,2954,MA0212.1_bcd.jaspar
96,11.612828254699707,VT8646|0|MEMB003F|+|2578,2156,negative,5599,MA0212.1_bcd.jaspar
13,8.354093551635742,VT8646|0|MEMB004A|-|2919,379,negative,808,MA0212.1_bcd.jaspar
14,8.354093551635742,VT8646|0|MEMB004A|-|2919,1068,positive,1691,MA0212.1_bcd.jaspar
15,11.612828254699707,VT8646|0|MEMB004A|-|2919,1908,positive,2954,MA0212.1_bcd.jaspar
16,11.612828254699707,VT8646|0|MEMB004A|-|2919,2498,negative,5599,MA0212.1_bcd.jaspar
85,11.612828254699707,VT8646|0|MEMB004B|+|2508,1530,positive,2954,MA0212.1_bcd.jaspar
86,11.612828254699707,VT8646|0|MEMB004B|+|2508,2096,negative,5599,MA0212.1_bcd.jaspar
101,8.354093551635742,VT8646|0|MEMB004E|+|1999,411,positive,1691,MA0212.1_bcd.jaspar
102,11.612828254699707,VT8646|0|MEMB004E|+|1999,1033,positive,2954,MA0212.1_bcd.jaspar
103,11.612828254699707,VT8646|0|MEMB004E|+|1999,1577,negative,5599,MA0212.1_bcd.jaspar
97,8.354093551635742,VT8646|0|MEMB005B|-|2558,919,positive,1691,MA0212.1_bcd.jaspar
98,8.354093551635742,VT8646|0|MEMB005B|-|2558,983,negative,1895,MA0212.1_bcd.jaspar
99,11.612828254699707,VT8646|0|MEMB005B|-|2558,1548,positive,2954,MA0212.1_bcd.jaspar
100,11.612828254699707,VT8646|0|MEMB005B|-|2558,2135,negative,5599,MA0212.1_bcd.jaspar
29,11.612828254699707,VT8646|0|MEMB005D|-|3092,406,positive,470,MA0212.1_bcd.jaspar
30,8.354093551635742,VT8646|0|MEMB005D|-|3092,578,negative,669,MA0212.1_bcd.jaspar
31,11.612828254699707,VT8646|0|MEMB005D|-|3092,1337,negative,1688,MA0212.1_bcd.jaspar
32,11.612828254699707,VT8646|0|MEMB005D|-|3092,1386,negative,1861,MA0212.1_bcd.jaspar
33,11.612828254699707,VT8646|0|MEMB005D|-|3092,2055,positive,2954,MA0212.1_bcd.jaspar
34,11.612828254699707,VT8646|0|MEMB005D|-|3092,2663,negative,5599,MA0212.1_bcd.jaspar
21,11.612828254699707,VT8646|0|MEMB006A|-|3077,395,positive,470,MA0212.1_bcd.jaspar
22,8.354093551635742,VT8646|0|MEMB006A|-|3077,569,negative,671,MA0212.1_bcd.jaspar
23,11.612828254699707,VT8646|0|MEMB006A|-|3077,1365,negative,1727,MA0212.1_bcd.jaspar
24,11.612828254699707,VT8646|0|MEMB006A|-|3077,1382,negative,1861,MA0212.1_bcd.jaspar
25,11.612828254699707,VT8646|0|MEMB006A|-|3077,2049,positive,2954,MA0212.1_bcd.jaspar
26,8.354093551635742,VT8646|0|MEMB006A|-|3077,2237,negative,3189,MA0212.1_bcd.jaspar
27,8.354093551635742,VT8646|0|MEMB006A|-|3077,2365,negative,4949,MA0212.1_bcd.jaspar
28,11.612828254699707,VT8646|0|MEMB006A|-|3077,2648,negative,5599,MA0212.1_bcd.jaspar
65,8.354093551635742,VT8646|0|MEMB006B|-|2620,987,positive,1691,MA0212.1_bcd.jaspar
66,11.612828254699707,VT8646|0|MEMB006B|-|2620,1040,negative,1861,MA0212.1_bcd.jaspar
67,11.612828254699707,VT8646|0|MEMB006B|-|2620,1617,positive,2954,MA0212.1_bcd.jaspar
68,11.612828254699707,VT8646|0|MEMB006B|-|2620,1849,negative,3519,MA0212.1_bcd.jaspar
69,11.612828254699707,VT8646|0|MEMB006B|-|2620,2186,negative,5599,MA0212.1_bcd.jaspar
87,8.354093551635742,VT8646|0|MEMB006C|-|2565,313,negative,650,MA0212.1_bcd.jaspar
88,11.612828254699707,VT8646|0|MEMB006C|-|2565,1593,positive,2954,MA0212.1_bcd.jaspar
89,11.612828254699707,VT8646|0|MEMB006C|-|2565,2150,negative,5599,MA0212.1_bcd.jaspar
43,8.354093551635742,VT8646|0|MEMB007B|-|2865,425,negative,808,MA0212.1_bcd.jaspar
44,11.612828254699707,VT8646|0|MEMB007B|-|2865,1060,positive,1691,MA0212.1_bcd.jaspar
45,11.612828254699707,VT8646|0|MEMB007B|-|2865,1894,positive,2954,MA0212.1_bcd.jaspar
46,11.612828254699707,VT8646|0|MEMB007B|-|2865,2476,negative,5599,MA0212.1_bcd.jaspar
57,8.354093551635742,VT8646|0|MEMB007C|+|2375,659,positive,1691,MA0212.1_bcd.jaspar
58,11.612828254699707,VT8646|0|MEMB007C|+|2375,1326,positive,2954,MA0212.1_bcd.jaspar
59,8.354093551635742,VT8646|0|MEMB007C|+|2375,1691,positive,5114,MA0212.1_bcd.jaspar
60,8.354093551635742,VT8646|0|MEMB007C|+|2375,1909,negative,5543,MA0212.1_bcd.jaspar
61,11.612828254699707,VT8646|0|MEMB007C|+|2375,1956,negative,5599,MA0212.1_bcd.jaspar
6,8.354093551635742,VT8646|0|MEMB007D|+|3583,659,negative,717,MA0212.1_bcd.jaspar
7,11.612828254699707,VT8646|0|MEMB007D|+|3583,673,positive,731,MA0212.1_bcd.jaspar
8,8.354093551635742,VT8646|0|MEMB007D|+|3583,844,negative,902,MA0212.1_bcd.jaspar
9,11.612828254699707,VT8646|0|MEMB007D|+|3583,1484,positive,1691,MA0212.1_bcd.jaspar
10,11.612828254699707,VT8646|0|MEMB007D|+|3583,1931,negative,2254,MA0212.1_bcd.jaspar
11,11.612828254699707,VT8646|0|MEMB007D|+|3583,2560,positive,2954,MA0212.1_bcd.jaspar
12,11.612828254699707,VT8646|0|MEMB007D|+|3583,3158,negative,5599,MA0212.1_bcd.jaspar
90,8.354093551635742,VT8646|0|MEMB008C|+|2558,921,positive,1691,MA0212.1_bcd.jaspar
91,8.354093551635742,VT8646|0|MEMB008C|+|2558,984,negative,1895,MA0212.1_bcd.jaspar
92,11.612828254699707,VT8646|0|MEMB008C|+|2558,1546,positive,2954,MA0212.1_bcd.jaspar
93,11.612828254699707,VT8646|0|MEMB008C|+|2558,2136,negative,5599,MA0212.1_bcd.jaspar
70,11.612828254699707,VT8646|0|dkik|+|2572,267,negative,712,MA0212.1_bcd.jaspar
71,8.354093551635742,VT8646|0|dkik|+|2572,922,positive,1691,MA0212.1_bcd.jaspar
72,11.612828254699707,VT8646|0|dkik|+|2572,1584,positive,2954,MA0212.1_bcd.jaspar
73,11.612828254699707,VT8646|0|dkik|+|2572,2147,negative,5599,MA0212.1_bcd.jaspar
